lat,lon,k12,fire_station
51.49481897,-0.14527228,9.0,5.0
51.52330238,-0.12681604,0.0,2.0
51.53613602,-0.14215042,7.0,2.0
51.51438933,-0.18915606,10.0,11.0
51.51074998,-0.18641816,10.0,11.0
51.50811658,-0.13320351,0.0,0.0
51.51717428,-0.19481091,8.0,11.0
51.51076677,-0.13021283,0.0,0.0
51.51995897,-0.20046645,8.0,10.0
51.52249999,-0.19027567,10.0,11.0
51.48372171,-0.1831702,5.0,5.0
51.49088909,-0.18144477,5.0,5.0
51.4902343,-0.13969639,9.0,7.0
51.54763582,-0.13014333,7.0,6.0
51.55735997,-0.11964605,2.0,1.0
51.5655633,-0.12652209,6.0,1.0
51.49643723,-0.19130868,5.0,8.0
51.49302158,-0.14534526,9.0,7.0
51.56551723,-0.12363824,6.0,1.0
51.54830389,-0.11569256,2.0,1.0
51.54222713,-0.18660844,1.0,3.0
51.5425155,-0.09141503,11.0,4.0
51.5541098,-0.1414179,6.0,6.0
51.56500782,-0.14818786,6.0,6.0
51.51896952,-0.13708376,0.0,2.0
51.49079966,-0.17568627,5.0,5.0
51.51906089,-0.14284567,4.0,2.0
51.50823096,-0.14040418,4.0,0.0
51.50566765,-0.20679375,8.0,8.0
51.53479143,-0.17104325,10.0,11.0
51.51719644,-0.19625138,8.0,11.0
51.53733407,-0.10460991,11.0,4.0
51.51998106,-0.201907,8.0,10.0
51.49455084,-0.18562088,5.0,8.0
51.56673684,-0.14378885,6.0,6.0
51.52256427,-0.13693698,7.0,2.0
51.50270603,-0.18961947,5.0,8.0
51.54299187,-0.17792509,1.0,3.0
51.52200677,-0.15858229,4.0,11.0
51.54143674,-0.136166,7.0,6.0
51.5513909,-0.14008632,6.0,6.0
51.56570106,-0.13517372,6.0,6.0
51.55004687,-0.16898883,3.0,3.0
51.548069,-0.15752969,3.0,6.0
51.55687426,-0.14563299,6.0,6.0
51.49751506,-0.14516279,9.0,5.0
51.50906107,-0.13604709,0.0,0.0
51.49915558,-0.19264178,5.0,8.0
51.52762425,-0.1727723,10.0,11.0
51.49740099,-0.13796379,9.0,7.0
51.50816494,-0.19372614,8.0,8.0
51.4909114,-0.1828844,5.0,5.0
51.52892366,-0.14100243,7.0,2.0
51.53950873,-0.18527452,1.0,3.0
51.56551723,-0.12363824,6.0,1.0
51.49873082,-0.16528412,5.0,5.0
51.49097271,-0.12958265,9.0,7.0
51.54034048,-0.18091519,1.0,3.0
