Date,Count
"(2013, 1)",0.42633053221288514
"(2013, 2)",0.24593837535014004
"(2013, 3)",0.5378151260504201
"(2013, 4)",0.44313725490196076
"(2013, 5)",0.49635854341736696
"(2013, 6)",0.49299719887955185
"(2013, 7)",1.0
"(2013, 8)",0.6252100840336134
"(2013, 9)",0.4470588235294118
"(2013, 10)",0.5893557422969188
"(2013, 11)",0.4492997198879552
"(2013, 12)",0.4492997198879552
"(2014, 1)",0.18711484593837535
"(2014, 2)",0.09747899159663866
"(2014, 3)",0.41568627450980394
"(2014, 4)",0.3002801120448179
"(2014, 5)",0.4011204481792717
"(2014, 6)",0.4196078431372549
"(2014, 7)",0.5008403361344538
"(2014, 8)",0.47282913165266105
"(2014, 9)",0.4341736694677871
"(2014, 10)",0.5316526610644258
"(2014, 11)",0.2218487394957983
"(2014, 12)",0.261624649859944
"(2015, 1)",0.28515406162464985
"(2015, 2)",0.0
"(2015, 3)",0.30644257703081235
"(2015, 4)",0.31820728291316525
"(2015, 5)",0.3568627450980392
"(2015, 6)",0.5675070028011204
"(2015, 7)",0.6543417366946779
"(2015, 8)",0.47170868347338935
"(2015, 9)",0.373109243697479
"(2015, 10)",0.47058823529411764
"(2015, 11)",0.3775910364145658
"(2015, 12)",0.35294117647058826
"(2016, 1)",0.3081232492997199
"(2016, 2)",0.2145658263305322
"(2016, 3)",0.38599439775910366
"(2016, 4)",0.23417366946778712
"(2016, 5)",0.5025210084033613
"(2016, 6)",0.7434173669467787
"(2016, 7)",0.6946778711484594
"(2016, 8)",0.7081232492997199
"(2016, 9)",0.5635854341736695
"(2016, 10)",0.5781512605042017
"(2016, 11)",0.5210084033613446
"(2016, 12)",0.5462184873949579
