"Old ONS code","New ONS code","Local Authority",2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
00AA,E09000001,"City of London",1.4688622754491019,1.421875,1.3869395711500974,1.3532319391634982,1.3279329608938548,1.3508379888268156,1.4165735567970206,1.3706642066420665,1.3659963436928702,1.343956043956044,1.3451905626134302,1.3750452079566005,1.3730700179533213,1.3453333333333333,1.406099518459069,,7359,7280,7115,7118,7131,7254,7607,7429,7472,7338,7412,7604,7648,8072,8760
00AB,E09000002,"Barking and Dagenham",2.4253879941434846,2.427506201663505,2.4144392794886693,2.4036284470246736,2.400736355760901,2.4040989500934846,2.4202605956471936,2.4443940467753364,2.5067758328627896,2.576997885835095,2.6312464828362407,2.6677866442671148,2.701584653878232,2.7286913444337415,2.7600300628587044,,165654,166357,166210,165610,166275,167157,169031,172452,177580,182838,187029,190560,194352,198294,201979
00AC,E09000003,Barnet,2.4477551333129024,2.450703363914373,2.440112223233242,2.4365723317778114,2.4461613144137417,2.4514673188083593,2.472399025326737,2.481796897863623,2.510190897873267,2.5352618669744627,2.5657552924291354,2.572854517178001,2.584106980326262,2.604480722473081,2.613691746403249,,319481,320552,321802,323723,327541,330801,334837,339212,345829,351438,357538,363956,369088,374915,379691
00AD,E09000004,Bexley,2.3879161663573845,2.3841040147970842,2.385773151160269,2.376729424421732,2.385657584209397,2.3898105533554532,2.396,2.409141156462585,2.417569142736039,2.433660337552743,2.4492213804713803,2.4597963040739184,2.4742525611540875,2.4936583844474476,2.4963092783505156,,218757,219123,220016,220917,222391,223280,224625,226652,228146,230711,232774,234271,236687,239865,242142
00AE,E09000005,Brent,2.658187912846298,2.624438393464942,2.5837554164660568,2.5690282431785545,2.578161575792178,2.589716212419219,2.623626933407428,2.6678374908290534,2.704263425253991,2.735705950991832,2.7859118486795147,2.7935014204545454,2.7999646986144207,2.8127148368993335,2.8028719723183393,,269620,269871,268323,268335,270939,276504,283273,290901,298118,304785,312245,314660,317264,320762,324012
00AF,E09000006,Bromley,2.3012585456805468,2.3002868884236642,2.298762663367102,2.2903243201602344,2.291954990814452,2.2906081132506277,2.286723590751096,2.2910975884606715,2.2961322660282786,2.297542814594192,2.2997186018957345,2.3157289285450924,2.3323477622890683,2.3545474532795896,2.3736446003214966,,296218,296668,297253,297307,299421,300963,302625,304968,306924,308560,310554,314036,317899,321278,324857
00AG,E09000007,Camden,2.175566534206852,2.1726885385598638,2.1623332627567224,2.1862188949810206,2.2089577228966095,2.1902646600934093,2.180618556701031,2.1562038556193603,2.160349025974026,2.1658765382287672,2.2046178503455875,2.245129740518962,2.279863040889242,2.320383361327932,2.371460895228726,,202567,203972,204254,207341,211088,211032,211520,210273,212924,214725,220087,224962,229719,234846,241059
00AH,E09000008,Croydon,2.371634819532909,2.3717649554518454,2.36862924834297,2.3711773807849204,2.3781440695798555,2.381428371572468,2.3939113492450073,2.4106832298136647,2.413705097502566,2.43090662139219,2.4633018230925052,2.47890598750084,2.48999331997328,2.490496059341678,2.485123262522948,,335112,335415,335919,337134,339052,340449,344029,349308,352763,357951,364815,368886,372752,376040,379031
00AJ,E09000009,Ealing,2.5536109033491234,2.5644083257318186,2.5480317565332453,2.5535123116198633,2.565613977524403,2.569080984194232,2.567649665619209,2.5812315781088184,2.610903623991138,2.632568951930654,2.6677726236339336,2.66419801360757,2.657876765481918,2.6391884594615442,2.6282004136980004,,307276,309242,308108,310073,312774,315329,318671,324022,329966,334073,339314,340671,342494,342118,343059
00AK,E09000010,Enfield,2.4547675962815405,2.4598703233155175,2.4449986987073826,2.4257950833763107,2.4327609772766103,2.4439163336450984,2.456678183197101,2.4797248853689036,2.503490300116067,2.5375123721544046,2.572394296951819,2.5934853686447603,2.608218732199528,2.630259319286872,2.6529321486268174,,277266,280745,281835,282217,284779,287429,291534,297443,301971,307648,313935,317287,320524,324574,328433
00AL,E09000011,Greenwich,2.2792160150927576,2.307762842554965,2.318377260981912,2.314015074353229,2.309327722673079,2.3123826465065718,2.320563131560875,2.34449442597301,2.3758970358814353,2.427384315635655,2.4758503730981682,2.4884508659458424,2.5234945517109537,2.5409305844524304,2.571135853293413,,217460,221476,224303,227190,230494,233990,236535,239748,243672,249171,255483,260068,264008,268678,274803
00AM,E09000012,Hackney,2.3764017887856896,2.382125112917796,2.3543005985369096,2.331924882629108,2.3346128962691397,2.343974877581435,2.3532865080197087,2.3745220966084277,2.3735780920854648,2.3779165846940784,2.4136510106434916,2.4345210505986867,2.4662610195477193,2.494549246374064,2.519990632318501,,207246,210961,212405,213581,216512,220193,224480,231041,236622,241739,247182,252119,257379,263150,269009
00AN,E09000013,"Hammersmith and Fulham",2.1968093385214007,2.2252425928321906,2.2098956320061847,2.200549872122762,2.202771069022499,2.202433488841256,2.206727522821058,2.1995776922121477,2.223928880108655,2.208083028083028,2.214407088238864,2.170528602461984,2.1455931796349663,2.12567036110118,2.104022516711622,,169374,171989,171510,172083,173292,174675,176472,177088,180116,180842,182445,179850,178685,178365,179410
00AP,E09000014,Haringey,2.3627829987184965,2.379919423240034,2.3652196762665545,2.3662313237906174,2.359483379643923,2.371100264388855,2.371962335971151,2.421345087163233,2.4421253299442762,2.443604370105385,2.45310550062398,2.455073013464821,2.4840705460718664,2.5118862078678057,2.5587396849212305,,221251,224474,225027,226472,229271,233174,236793,244459,249805,252742,255540,258912,263386,267541,272864
