STATION;STATION_NAME;DATE;TAVG;TMAX;TMIN
GHCND:UKM00003772;HEATHROW UK;20130410;44;52;-9999
GHCND:UKM00003772;HEATHROW UK;20130411;47;56;43
GHCND:UKM00003772;HEATHROW UK;20130412;48;56;-9999
GHCND:UKM00003772;HEATHROW UK;20130413;49;53;40
GHCND:UKM00003772;HEATHROW UK;20130414;58;68;52
GHCND:UKM00003772;HEATHROW UK;20130415;54;60;-9999
GHCND:UKM00003772;HEATHROW UK;20130416;55;63;-9999
GHCND:UKM00003772;HEATHROW UK;20130417;56;66;48
GHCND:UKM00003772;HEATHROW UK;20130418;51;60;-9999
GHCND:UKM00003772;HEATHROW UK;20130419;49;56;-9999
GHCND:UKM00003772;HEATHROW UK;20130420;46;57;37
GHCND:UKM00003772;HEATHROW UK;20130421;47;59;-9999
GHCND:UKM00003772;HEATHROW UK;20130422;51;60;44
GHCND:UKM00003772;HEATHROW UK;20130423;58;69;-9999
GHCND:UKM00003772;HEATHROW UK;20130424;58;69;47
GHCND:UKM00003772;HEATHROW UK;20130425;60;73;50
GHCND:UKM00003772;HEATHROW UK;20130426;49;56;-9999
GHCND:UKM00003772;HEATHROW UK;20130427;44;53;37
GHCND:UKM00003772;HEATHROW UK;20130428;45;54;33
GHCND:UKM00003772;HEATHROW UK;20130429;51;59;-9999
GHCND:UKM00003772;HEATHROW UK;20130430;49;58;40
GHCND:UKM00003772;HEATHROW UK;20130501;49;62;39
GHCND:UKM00003772;HEATHROW UK;20130502;53;64;41
GHCND:UKM00003772;HEATHROW UK;20130503;54;67;40
GHCND:UKM00003772;HEATHROW UK;20130504;54;63;46
GHCND:UKM00003772;HEATHROW UK;20130505;57;-9999;44
GHCND:UKM00003772;HEATHROW UK;20130506;61;72;51
GHCND:UKM00003772;HEATHROW UK;20130507;60;73;-9999
GHCND:UKM00003772;HEATHROW UK;20130508;57;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130509;51;-9999;44
GHCND:UKM00003772;HEATHROW UK;20130510;55;65;-9999
GHCND:UKM00003772;HEATHROW UK;20130511;50;57;-9999
GHCND:UKM00003772;HEATHROW UK;20130512;50;60;41
GHCND:UKM00003772;HEATHROW UK;20130513;53;60;-9999
GHCND:UKM00003772;HEATHROW UK;20130514;48;54;-9999
GHCND:UKM00003772;HEATHROW UK;20130515;48;58;-9999
GHCND:UKM00003772;HEATHROW UK;20130516;51;62;38
GHCND:UKM00003772;HEATHROW UK;20130517;49;55;44
GHCND:UKM00003772;HEATHROW UK;20130518;53;61;-9999
GHCND:UKM00003772;HEATHROW UK;20130519;57;-9999;47
GHCND:UKM00003772;HEATHROW UK;20130520;58;63;52
GHCND:UKM00003772;HEATHROW UK;20130521;57;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130522;53;59;-9999
GHCND:UKM00003772;HEATHROW UK;20130523;47;53;42
GHCND:UKM00003772;HEATHROW UK;20130524;45;50;-9999
GHCND:UKM00003772;HEATHROW UK;20130525;51;61;-9999
GHCND:UKM00003772;HEATHROW UK;20130526;55;68;-9999
GHCND:UKM00003772;HEATHROW UK;20130527;55;65;-9999
GHCND:UKM00003772;HEATHROW UK;20130528;51;54;-9999
GHCND:UKM00003772;HEATHROW UK;20130529;51;56;-9999
GHCND:UKM00003772;HEATHROW UK;20130530;55;59;52
GHCND:UKM00003772;HEATHROW UK;20130531;61;71;-9999
GHCND:UKM00003772;HEATHROW UK;20130601;57;66;50
GHCND:UKM00003772;HEATHROW UK;20130602;57;66;47
GHCND:UKM00003772;HEATHROW UK;20130603;57;67;-9999
GHCND:UKM00003772;HEATHROW UK;20130604;58;70;45
GHCND:UKM00003772;HEATHROW UK;20130605;58;71;-9999
GHCND:UKM00003772;HEATHROW UK;20130606;60;73;-9999
GHCND:UKM00003772;HEATHROW UK;20130607;59;69;49
GHCND:UKM00003772;HEATHROW UK;20130608;56;65;48
GHCND:UKM00003772;HEATHROW UK;20130609;55;60;-9999
GHCND:UKM00003772;HEATHROW UK;20130610;55;61;-9999
GHCND:UKM00003772;HEATHROW UK;20130611;57;65;47
GHCND:UKM00003772;HEATHROW UK;20130612;60;64;57
GHCND:UKM00003772;HEATHROW UK;20130613;58;67;-9999
GHCND:UKM00003772;HEATHROW UK;20130614;58;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130615;58;65;51
GHCND:UKM00003772;HEATHROW UK;20130616;58;65;53
GHCND:UKM00003772;HEATHROW UK;20130617;62;70;-9999
GHCND:UKM00003772;HEATHROW UK;20130618;64;-9999;56
GHCND:UKM00003772;HEATHROW UK;20130619;69;79;60
GHCND:UKM00003772;HEATHROW UK;20130620;66;70;-9999
GHCND:UKM00003772;HEATHROW UK;20130621;63;75;57
GHCND:UKM00003772;HEATHROW UK;20130622;59;67;53
GHCND:UKM00003772;HEATHROW UK;20130623;59;65;-9999
GHCND:UKM00003772;HEATHROW UK;20130624;58;-9999;50
GHCND:UKM00003772;HEATHROW UK;20130625;61;70;51
GHCND:UKM00003772;HEATHROW UK;20130626;62;72;-9999
GHCND:UKM00003772;HEATHROW UK;20130627;59;69;53
GHCND:UKM00003772;HEATHROW UK;20130628;62;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130629;64;72;-9999
GHCND:UKM00003772;HEATHROW UK;20130630;67;81;-9999
GHCND:UKM00003772;HEATHROW UK;20130701;62;70;-9999
GHCND:UKM00003772;HEATHROW UK;20130702;58;64;-9999
GHCND:UKM00003772;HEATHROW UK;20130703;63;71;-9999
GHCND:UKM00003772;HEATHROW UK;20130704;65;77;-9999
GHCND:UKM00003772;HEATHROW UK;20130705;66;79;-9999
GHCND:UKM00003772;HEATHROW UK;20130706;71;83;57
GHCND:UKM00003772;HEATHROW UK;20130707;73;85;-9999
GHCND:UKM00003772;HEATHROW UK;20130708;71;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130709;68;81;-9999
GHCND:UKM00003772;HEATHROW UK;20130710;66;76;-9999
GHCND:UKM00003772;HEATHROW UK;20130711;62;74;53
GHCND:UKM00003772;HEATHROW UK;20130712;65;79;-9999
GHCND:UKM00003772;HEATHROW UK;20130713;74;89;-9999
GHCND:UKM00003772;HEATHROW UK;20130714;75;86;-9999
GHCND:UKM00003772;HEATHROW UK;20130715;75;88;-9999
GHCND:UKM00003772;HEATHROW UK;20130716;76;88;-9999
GHCND:UKM00003772;HEATHROW UK;20130717;76;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130718;74;85;-9999
GHCND:UKM00003772;HEATHROW UK;20130719;72;85;61
GHCND:UKM00003772;HEATHROW UK;20130720;68;76;-9999
GHCND:UKM00003772;HEATHROW UK;20130721;70;81;62
GHCND:UKM00003772;HEATHROW UK;20130722;77;92;63
GHCND:UKM00003772;HEATHROW UK;20130723;75;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130724;69;82;-9999
GHCND:UKM00003772;HEATHROW UK;20130725;69;80;-9999
GHCND:UKM00003772;HEATHROW UK;20130726;68;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130727;68;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130728;67;77;58
GHCND:UKM00003772;HEATHROW UK;20130729;66;76;60
GHCND:UKM00003772;HEATHROW UK;20130730;64;72;-9999
GHCND:UKM00003772;HEATHROW UK;20130731;67;76;62
GHCND:UKM00003772;HEATHROW UK;20130801;78;93;62
GHCND:UKM00003772;HEATHROW UK;20130802;69;80;-9999
GHCND:UKM00003772;HEATHROW UK;20130803;67;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130804;66;76;-9999
GHCND:UKM00003772;HEATHROW UK;20130805;66;75;-9999
GHCND:UKM00003772;HEATHROW UK;20130806;64;73;53
GHCND:UKM00003772;HEATHROW UK;20130807;66;74;58
GHCND:UKM00003772;HEATHROW UK;20130808;66;78;54
GHCND:UKM00003772;HEATHROW UK;20130809;67;77;60
GHCND:UKM00003772;HEATHROW UK;20130810;65;73;-9999
GHCND:UKM00003772;HEATHROW UK;20130811;67;75;-9999
GHCND:UKM00003772;HEATHROW UK;20130812;63;73;-9999
GHCND:UKM00003772;HEATHROW UK;20130813;60;71;51
GHCND:UKM00003772;HEATHROW UK;20130814;62;74;52
GHCND:UKM00003772;HEATHROW UK;20130815;67;76;61
GHCND:UKM00003772;HEATHROW UK;20130816;66;74;62
GHCND:UKM00003772;HEATHROW UK;20130817;63;70;57
GHCND:UKM00003772;HEATHROW UK;20130818;67;75;-9999
GHCND:UKM00003772;HEATHROW UK;20130819;64;74;53
GHCND:UKM00003772;HEATHROW UK;20130820;65;77;53
GHCND:UKM00003772;HEATHROW UK;20130821;68;83;55
GHCND:UKM00003772;HEATHROW UK;20130822;66;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130823;71;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130824;64;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130825;65;76;55
GHCND:UKM00003772;HEATHROW UK;20130826;67;79;59
GHCND:UKM00003772;HEATHROW UK;20130827;64;74;53
GHCND:UKM00003772;HEATHROW UK;20130828;65;76;-9999
GHCND:UKM00003772;HEATHROW UK;20130829;67;76;58
GHCND:UKM00003772;HEATHROW UK;20130830;67;78;-9999
GHCND:UKM00003772;HEATHROW UK;20130831;63;71;-9999
GHCND:UKM00003772;HEATHROW UK;20130901;60;72;49
GHCND:UKM00003772;HEATHROW UK;20130902;66;79;53
GHCND:UKM00003772;HEATHROW UK;20130903;67;79;-9999
GHCND:UKM00003772;HEATHROW UK;20130904;70;83;-9999
GHCND:UKM00003772;HEATHROW UK;20130905;71;85;58
GHCND:UKM00003772;HEATHROW UK;20130906;60;65;-9999
GHCND:UKM00003772;HEATHROW UK;20130907;58;67;52
GHCND:UKM00003772;HEATHROW UK;20130908;53;65;46
GHCND:UKM00003772;HEATHROW UK;20130909;49;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130910;57;63;48
GHCND:UKM00003772;HEATHROW UK;20130911;58;-9999;53
GHCND:UKM00003772;HEATHROW UK;20130912;59;69;54
GHCND:UKM00003772;HEATHROW UK;20130913;62;67;-9999
GHCND:UKM00003772;HEATHROW UK;20130914;53;58;-9999
GHCND:UKM00003772;HEATHROW UK;20130915;54;-9999;44
GHCND:UKM00003772;HEATHROW UK;20130916;53;59;46
GHCND:UKM00003772;HEATHROW UK;20130917;53;-9999;46
GHCND:UKM00003772;HEATHROW UK;20130918;55;61;-9999
GHCND:UKM00003772;HEATHROW UK;20130919;55;-9999;45
GHCND:UKM00003772;HEATHROW UK;20130920;58;67;48
GHCND:UKM00003772;HEATHROW UK;20130921;59;-9999;50
GHCND:UKM00003772;HEATHROW UK;20130922;63;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130923;60;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20130924;60;72;50
GHCND:UKM00003772;HEATHROW UK;20130925;63;-9999;55
GHCND:UKM00003772;HEATHROW UK;20130926;60;68;-9999
GHCND:UKM00003772;HEATHROW UK;20130927;57;66;-9999
GHCND:UKM00003772;HEATHROW UK;20130928;60;68;53
GHCND:UKM00003772;HEATHROW UK;20130929;60;66;-9999
GHCND:UKM00003772;HEATHROW UK;20130930;60;66;-9999
GHCND:UKM00003772;HEATHROW UK;20131001;58;63;-9999
GHCND:UKM00003772;HEATHROW UK;20131002;62;72;-9999
GHCND:UKM00003772;HEATHROW UK;20131003;62;67;57
GHCND:UKM00003772;HEATHROW UK;20131004;64;72;-9999
GHCND:UKM00003772;HEATHROW UK;20131005;60;67;-9999
GHCND:UKM00003772;HEATHROW UK;20131006;56;68;-9999
GHCND:UKM00003772;HEATHROW UK;20131007;58;69;-9999
GHCND:UKM00003772;HEATHROW UK;20131008;62;70;-9999
GHCND:UKM00003772;HEATHROW UK;20131009;56;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131010;49;54;-9999
GHCND:UKM00003772;HEATHROW UK;20131011;53;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131012;53;57;-9999
GHCND:UKM00003772;HEATHROW UK;20131013;51;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131014;49;-9999;48
GHCND:UKM00003772;HEATHROW UK;20131015;50;57;-9999
GHCND:UKM00003772;HEATHROW UK;20131016;51;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131017;57;66;-9999
GHCND:UKM00003772;HEATHROW UK;20131018;58;-9999;51
GHCND:UKM00003772;HEATHROW UK;20131019;59;65;-9999
GHCND:UKM00003772;HEATHROW UK;20131020;57;63;-9999
GHCND:UKM00003772;HEATHROW UK;20131021;60;65;54
GHCND:UKM00003772;HEATHROW UK;20131022;62;65;-9999
GHCND:UKM00003772;HEATHROW UK;20131023;58;64;-9999
GHCND:UKM00003772;HEATHROW UK;20131024;53;64;-9999
GHCND:UKM00003772;HEATHROW UK;20131025;61;66;55
GHCND:UKM00003772;HEATHROW UK;20131026;60;64;-9999
GHCND:UKM00003772;HEATHROW UK;20131027;57;62;-9999
GHCND:UKM00003772;HEATHROW UK;20131028;55;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131029;49;56;-9999
GHCND:UKM00003772;HEATHROW UK;20131030;49;58;39
GHCND:UKM00003772;HEATHROW UK;20131031;55;-9999;53
GHCND:UKM00003772;HEATHROW UK;20131101;55;59;-9999
GHCND:UKM00003772;HEATHROW UK;20131102;53;60;-9999
GHCND:UKM00003772;HEATHROW UK;20131103;49;55;45
GHCND:UKM00003772;HEATHROW UK;20131104;46;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131105;48;55;-9999
GHCND:UKM00003772;HEATHROW UK;20131106;54;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131107;51;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131108;45;53;-9999
GHCND:UKM00003772;HEATHROW UK;20131109;42;47;39
GHCND:UKM00003772;HEATHROW UK;20131110;43;50;-9999
GHCND:UKM00003772;HEATHROW UK;20131111;49;-9999;35
GHCND:UKM00003772;HEATHROW UK;20131112;51;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131113;42;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131114;46;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131115;43;50;-9999
GHCND:UKM00003772;HEATHROW UK;20131116;41;50;-9999
GHCND:UKM00003772;HEATHROW UK;20131117;48;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131118;47;49;-9999
GHCND:UKM00003772;HEATHROW UK;20131119;38;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131120;38;46;27
GHCND:UKM00003772;HEATHROW UK;20131121;42;47;38
GHCND:UKM00003772;HEATHROW UK;20131122;41;47;-9999
GHCND:UKM00003772;HEATHROW UK;20131123;41;47;-9999
GHCND:UKM00003772;HEATHROW UK;20131124;44;47;-9999
GHCND:UKM00003772;HEATHROW UK;20131125;42;45;39
GHCND:UKM00003772;HEATHROW UK;20131126;41;47;-9999
GHCND:UKM00003772;HEATHROW UK;20131127;47;-9999;42
GHCND:UKM00003772;HEATHROW UK;20131128;48;51;-9999
GHCND:UKM00003772;HEATHROW UK;20131129;47;51;-9999
GHCND:UKM00003772;HEATHROW UK;20131130;43;48;-9999
GHCND:UKM00003772;HEATHROW UK;20131201;42;-9999;33
GHCND:UKM00003772;HEATHROW UK;20131202;46;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131203;43;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131204;42;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131205;42;51;31
GHCND:UKM00003772;HEATHROW UK;20131206;42;48;35
GHCND:UKM00003772;HEATHROW UK;20131207;45;49;42
GHCND:UKM00003772;HEATHROW UK;20131208;47;54;39
GHCND:UKM00003772;HEATHROW UK;20131209;45;52;-9999
GHCND:UKM00003772;HEATHROW UK;20131210;41;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131211;36;-9999;33
GHCND:UKM00003772;HEATHROW UK;20131212;42;49;29
GHCND:UKM00003772;HEATHROW UK;20131213;50;55;45
GHCND:UKM00003772;HEATHROW UK;20131214;46;53;38
GHCND:UKM00003772;HEATHROW UK;20131215;52;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131216;52;56;-9999
GHCND:UKM00003772;HEATHROW UK;20131217;42;-9999;40
GHCND:UKM00003772;HEATHROW UK;20131218;47;51;41
GHCND:UKM00003772;HEATHROW UK;20131219;44;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131220;44;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131221;51;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131222;47;50;-9999
GHCND:UKM00003772;HEATHROW UK;20131223;48;-9999;40
GHCND:UKM00003772;HEATHROW UK;20131224;47;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131225;40;45;-9999
GHCND:UKM00003772;HEATHROW UK;20131226;39;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131227;49;-9999;40
GHCND:UKM00003772;HEATHROW UK;20131228;42;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131229;39;-9999;31
GHCND:UKM00003772;HEATHROW UK;20131230;48;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20131231;47;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140101;48;-9999;42
GHCND:UKM00003772;HEATHROW UK;20140102;48;52;43
GHCND:UKM00003772;HEATHROW UK;20140103;48;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140104;46;49;-9999
GHCND:UKM00003772;HEATHROW UK;20140105;42;-9999;33
GHCND:UKM00003772;HEATHROW UK;20140106;52;-9999;47
GHCND:UKM00003772;HEATHROW UK;20140107;51;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140108;49;-9999;44
GHCND:UKM00003772;HEATHROW UK;20140109;48;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140110;44;52;36
GHCND:UKM00003772;HEATHROW UK;20140111;44;49;-9999
GHCND:UKM00003772;HEATHROW UK;20140112;39;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140113;44;49;-9999
GHCND:UKM00003772;HEATHROW UK;20140114;40;45;-9999
GHCND:UKM00003772;HEATHROW UK;20140115;49;52;41
GHCND:UKM00003772;HEATHROW UK;20140116;47;51;-9999
GHCND:UKM00003772;HEATHROW UK;20140117;45;49;-9999
GHCND:UKM00003772;HEATHROW UK;20140118;47;51;43
GHCND:UKM00003772;HEATHROW UK;20140119;44;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140120;41;-9999;33
GHCND:UKM00003772;HEATHROW UK;20140121;40;48;34
GHCND:UKM00003772;HEATHROW UK;20140122;46;51;43
GHCND:UKM00003772;HEATHROW UK;20140123;42;-9999;36
GHCND:UKM00003772;HEATHROW UK;20140124;42;47;35
GHCND:UKM00003772;HEATHROW UK;20140125;47;54;-9999
GHCND:UKM00003772;HEATHROW UK;20140126;42;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140127;41;-9999;36
GHCND:UKM00003772;HEATHROW UK;20140128;44;50;40
GHCND:UKM00003772;HEATHROW UK;20140129;40;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140130;40;43;-9999
GHCND:UKM00003772;HEATHROW UK;20140131;41;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140201;46;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140202;45;50;-9999
GHCND:UKM00003772;HEATHROW UK;20140203;43;48;38
GHCND:UKM00003772;HEATHROW UK;20140204;44;49;-9999
GHCND:UKM00003772;HEATHROW UK;20140205;47;50;42
GHCND:UKM00003772;HEATHROW UK;20140206;46;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140207;46;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140208;46;50;44
GHCND:UKM00003772;HEATHROW UK;20140209;44;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140210;42;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140211;42;48;36
GHCND:UKM00003772;HEATHROW UK;20140212;43;49;37
GHCND:UKM00003772;HEATHROW UK;20140213;42;47;39
GHCND:UKM00003772;HEATHROW UK;20140214;44;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140215;48;52;-9999
GHCND:UKM00003772;HEATHROW UK;20140216;43;51;-9999
GHCND:UKM00003772;HEATHROW UK;20140217;46;-9999;37
GHCND:UKM00003772;HEATHROW UK;20140218;47;52;-9999
GHCND:UKM00003772;HEATHROW UK;20140219;45;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140220;50;56;-9999
GHCND:UKM00003772;HEATHROW UK;20140221;44;52;-9999
GHCND:UKM00003772;HEATHROW UK;20140222;47;-9999;40
GHCND:UKM00003772;HEATHROW UK;20140223;51;54;45
GHCND:UKM00003772;HEATHROW UK;20140224;50;59;44
GHCND:UKM00003772;HEATHROW UK;20140225;48;-9999;-9999
GHCND:UKM00003772;HEATHROW UK;20140226;45;-9999;37
GHCND:UKM00003772;HEATHROW UK;20140227;46;54;-9999
GHCND:UKM00003772;HEATHROW UK;20140228;41;47;35
GHCND:UKM00003772;HEATHROW UK;20140301;41;50;34
GHCND:UKM00003772;HEATHROW UK;20140302;44;51;-9999
